S.No.,Cuisine ,Restaurant,Location
,,,
1,Mexican,El Cerro Restaurant,"2217 Avent Ferry Rd, Raleigh, NC 27606"
2,South Indian,Lime & Lemon Indian Grill & Bar,"105 Friendly Dr #101, Raleigh, NC 27607"
3,Chinese,Pei Wei Asian Kitchen,"4408 Falls of Neuse Rd, Raleigh, NC 27609"
4,Thai,Thai Villa Restaurant,"1319 Buck Jones Rd, Raleigh, NC 27606"
5,Japanese,Sushi One,"8470 Honeycutt Rd, Raleigh, NC 27615"
6,Gujarati,Vaishno Bhog,"810 E Chatham St, Cary, NC 27511"
7,North Indian,Zayka Indian Cuisine,"10410 Moncreiffe Rd suite 103, Raleigh, NC 27617"
8,Lebanese,Macus Empandas,"411 W Morgan St, Raleigh, NC 27603"
9,Mediterranean,Jasmin & Olivz Mediterranean - Meredith,"3801 Hillsborough St #149, Raleigh, NC 27607"
10,Middle East,Yemen Arab Restaurant,"3933 Western Blvd, Raleigh, NC 27606"
11,Italian,Carrabba's Italian Grill,"4821 Capital Blvd, Raleigh, NC 27616"
12,Korean ,Seol Grille,"2310 Walnut St, Cary, NC 27518"
13,Continental,Rey's Restaurant,"1130 Buck Jones Rd, Raleigh, NC 27606"
14,Greek,Fresko Greek Kitchen,"2320 Bale St #100, Raleigh, NC 27608"
15,Latin,Mami's Latin Style Rotisserie,"2401 Wake Forest Rd, Raleigh, NC 27608"
16,American,Outback Steakhouse,"901 Walnut St, Cary, NC 27511"